index,x_m,y_m,curvature
0,1.4938,1.6250,0.0000
1,1.4816,1.6735,0.0000
2,1.4813,1.6750,0.0000
3,1.4691,1.7235,0.0000
4,1.4688,1.7250,0.0000
5,1.4566,1.7735,2.5536
6,1.4563,1.9125,1.3429
7,1.4625,1.9621,0.7972
8,1.4688,2.0562,0.7972
9,1.4750,2.1059,0.7972
10,1.4813,2.2000,2.4645
11,1.4934,2.2485,3.9560
12,1.5188,2.3000,3.0210
13,1.5478,2.3407,1.4894
14,1.5875,2.3875,6.2245
15,1.6309,2.4123,0.0000
16,1.6312,2.4125,0.0000
17,1.6747,2.4373,3.0650
18,1.7250,2.4562,4.5291
19,1.7746,2.4625,3.1808
20,1.8188,2.4750,5.7592
21,1.8688,2.4750,3.0103
22,1.9125,2.4813,3.0103
23,1.9625,2.4813,2.4759
24,2.0125,2.4750,2.4017
25,2.0610,2.4629,4.9593
26,2.1063,2.4625,2.4367
27,2.1559,2.4563,2.6171
28,2.2000,2.4562,2.6171
29,2.2496,2.4500,10.6015
30,2.2938,2.4688,5.6274
31,2.3434,2.4750,3.1808
32,2.3875,2.4875,3.1808
33,2.4371,2.4937,3.3597
34,2.5312,2.5312,1.1111
35,2.5760,2.5536,0.0000
36,2.5812,2.5562,1.9848
37,2.6247,2.5811,1.8078
38,2.7125,2.6500,1.8078
39,2.7559,2.6748,0.0000
40,2.7563,2.6750,0.0000
41,2.7997,2.6998,2.5224
42,2.9125,2.8125,0.0061
43,2.9479,2.8479,7.8814
44,2.9625,2.8563,7.8814
45,2.9979,2.8916,2.9263
46,3.0438,2.9250,2.0576
47,3.0872,2.9498,2.3120
48,3.1312,2.9688,0.9602
49,3.1781,2.9863,0.0000
50,3.1812,2.9875,4.2543
51,3.2298,2.9996,2.0812
52,3.3687,3.0063,1.8146
53,3.4184,3.0000,4.4751
54,3.4688,2.9813,2.1595
55,3.5173,2.9691,0.0000
56,3.5688,2.9562,0.0000
57,3.6173,2.9441,9.9615
58,3.6562,2.9062,0.2791
59,3.6916,2.8709,0.2235
60,3.8125,2.7437,2.1285
61,3.8373,2.7003,2.1881
62,3.8750,2.6500,0.3983
63,3.9041,2.6093,2.6750
64,3.9312,2.5562,0.8328
65,3.9561,2.5128,1.0369
66,3.9813,2.4625,1.0369
67,4.0061,2.4191,5.5071
68,4.0187,2.3625,0.4505
69,4.0309,2.3140,0.0000
70,4.0438,2.2625,0.0000
71,4.0559,2.2140,2.2958
72,4.0625,2.1625,0.0700
73,4.0687,2.1129,5.5659
74,4.0625,2.0688,2.9499
75,4.0625,2.0188,4.8133
76,4.0500,1.9688,4.8133
77,4.0500,1.9187,8.2404
78,4.0312,1.8750,5.7299
79,4.0250,1.8254,5.6627
80,4.0062,1.7812,5.6627
81,4.0000,1.7316,5.6627
82,3.9813,1.6875,3.2153
83,3.9691,1.6390,0.0000
84,3.9562,1.5875,0.0000
85,3.9441,1.5390,1.0636
86,3.8875,1.3875,1.0636
87,3.8754,1.3390,6.7872
88,3.8750,1.3313,15.9169
89,3.8502,1.2878,3.0650
90,3.8312,1.2375,3.0650
91,3.8064,1.1941,3.0650
92,3.7875,1.1438,11.2163
93,3.7468,1.1147,2.5180
94,3.6938,1.0625,6.6691
95,3.6469,1.0449,2.3217
96,3.5688,1.0000,0.0367
97,3.5253,0.9752,7.6221
98,3.5125,0.9625,12.2189
99,3.4657,0.9449,0.0000
100,3.4625,0.9437,5.9854
101,3.4191,0.9189,7.6221
102,3.4062,0.9062,18.6813
103,3.3566,0.9000,0.3677
104,3.3125,0.8938,2.9947
105,3.2625,0.8938,0.2804
106,3.0750,0.8875,0.2804
107,3.0250,0.8875,0.9246
108,2.9313,0.8938,2.4744
109,2.8827,0.9059,0.0000
110,2.8813,0.9062,4.6705
111,2.8316,0.9125,0.0000
112,2.8313,0.9125,4.7764
113,2.7827,0.9246,0.0000
114,2.7812,0.9250,0.0000
115,2.7327,0.9371,0.0000
116,2.7313,0.9375,0.0000
117,2.6827,0.9496,0.0000
118,2.6812,0.9500,0.0000
119,2.6327,0.9621,6.4287
120,2.6125,0.9625,6.4287
121,2.5640,0.9746,0.0000
122,2.5625,0.9750,4.6705
123,2.5129,0.9812,0.0000
124,2.4625,0.9875,0.0000
125,2.4129,0.9937,0.0000
126,2.4125,0.9938,9.2212
127,2.3657,1.0113,0.0000
128,2.3125,1.0312,0.0000
129,2.2657,1.0488,4.1250
130,2.2188,1.0562,6.2583
131,2.1740,1.0786,0.0000
132,2.1688,1.0813,1.9848
133,2.1253,1.1061,2.3233
134,2.0125,1.1438,2.3233
135,1.9691,1.1686,2.3120
136,1.9250,1.1875,4.3685
137,1.8843,1.2166,0.0000
138,1.8812,1.2188,3.7558
139,1.8378,1.2436,16.8329
140,1.8313,1.2437,22.7294
141,1.7933,1.2763,0.0000
142,1.7437,1.3188,4.1876
143,1.7147,1.3594,1.3483
144,1.6812,1.4000,1.8710
145,1.6459,1.4354,1.3181
146,1.6000,1.4750,8.3711
147,1.5515,1.4871,0.0000
148,1.5500,1.4875,15.0931
149,1.5100,1.5175,0.0000
150,1.5000,1.5250,0.0000
